Rank,Category,Template,Size,Files,HTML_Pages,TechStack,Features,Tier,PriceMin,PriceMax,VisualScore,FunctionScore,ValueScore,CompositeScore,Economies
138,meditation,fit-healthy-fitness,4.3M,76,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
139,gym-fitness,learning-zone_fit-healthy-fitness-and-gym-html5-bootstrap-theme,4.3M,76,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
140,mechanic,dawidolko_car_repair,4.1M,76,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Germany,Switzerland,France"
141,agency-business,learning-zone_startbootstrap-agency-1.0.2,4.0M,85,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
142,wedding-planning,learning-zone_lovely-wedding-bootstrap-free-website-template,3.8M,50,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
143,creative,collections_aditya8Raj_handmadeProducts,3.6M,32,1,Static,Static,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
144,photography-videography,amaze-photography-bootstrap-html5-template,3.6M,61,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
145,attorney,avenger-multi-purpose,3.5M,75,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
146,transportation-taxi,car-zone,3.5M,53,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
147,hvac,enlive-corporate,3.5M,96,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
148,gardening-landscaping,relax-interior,3.4M,57,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
149,furniture-interior,learning-zone_relax-interior-free-bootstrap-responsive-website-template,3.4M,57,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
